7,生物微生物研究组,赵艳,853387,1775040064,王艳,962797,1792417384,2025-07-20 11:04:45
8,计算机数据课题组,王敏,855867,1868728178,黄慧,523954,1949333092,2025-07-20 11:04:45
9,生物分子实验室,吴艳,941211,1429244079,吴慧,077109,1684587801,2025-07-20 11:04:46
10,生物生态课题组,黄勇,601126,1995142437,黄慧,493859,1340050493,2025-07-20 11:04:46
11,物理量子实验室,王慧,423627,1936419670,黄慧,253632,1445659092,2025-07-20 11:04:46
12,工程能源研究组,赵宇,318276,1321763825,王艳,006144,1442573786,2025-07-20 11:04:46
13,物理天体研究中心,周芳,609633,1930815753,王宇,104586,1657634712,2025-07-20 11:04:46
14,化学高分子研究中心,李娟,507188,1353725134,刘磊,283929,1396480849,2025-07-20 11:04:46
15,工程机器人研究中心,周伟,109573,1437655166,杨敏,861992,1379820241,2025-07-20 11:04:46
16,化学无机研究组,黄涛,779825,1917447836,张浩,378685,1716790943,2025-07-20 11:04:46
17,生物微生物研究组,赵丽,865040,1859236553,刘强,537803,1573451104,2025-07-20 11:04:46
18,物理量子创新团队,吴艳,011580,1429061589,张涛,694898,1907115471,2025-07-20 11:04:46
19,工程智能课题组,张玲,142386,1846086009,陈艳,605322,1541111661,2025-07-20 11:04:46
20,计算机视觉创新团队,吴婷,654241,1483038702,黄敏,144413,1515093654,2025-07-20 11:04:46
21,工程结构研究中心,王敏,748524,1529617714,周宇,324699,1501006425,2025-07-20 11:04:46
22,物理量子研究组,王艳,646325,1769478446,陈敏,554286,1301006346,2025-07-20 11:04:46
23,物理超导研究中心,刘慧,026519,1314229444,周军,632966,1972811524,2025-07-20 11:04:46
24,计算机网络创新团队,吴伟,165723,1770394734,李军,121159,1640724269,2025-07-20 11:04:46
25,工程能源创新团队,吴伟,319877,1944360466,吴杰,612007,1879223995,2025-07-20 11:04:46
26,化学催化实验室,张杰,913855,1940966544,王芳,312119,1715171210,2025-07-20 11:04:46
27,计算机数据研究中心,吴浩,105548,1758898293,刘丽,938182,1795874862,2025-07-20 11:04:46
28,工程电子研究中心,王慧,596628,1987096398,李磊,794169,1657986090,2025-07-20 11:04:46
29,工程智能创新团队,赵涛,014978,1357247476,李勇,016415,1881921155,2025-07-20 11:04:46
30,物理核能实验室,张慧,090983,1784906979,陈伟,932265,1619524460,2025-07-20 11:04:46
31,化学电化学研究组,刘艳,396130,1781145965,杨涛,523716,1983826597,2025-07-20 11:04:46
32,生物神经实验室,吴涛,239103,1954048567,吴浩,046478,1684655148,2025-07-20 11:04:46
33,物理光学实验室,周婷,596338,1759989453,黄玲,335394,1661210821,2025-07-20 11:04:46
34,物理凝聚态研究组,吴慧,987291,1304614295,李芳,956644,1428788910,2025-07-20 11:04:46
