21,864,9,周慧,1693232918,910311,2025-07-20 11:17:07
22,304,6,王浩,1683455165,043027,2025-07-20 11:17:07
23,326,0,张军,1528439814,894296,2025-07-20 11:17:07
24,902,5,陈伟,1652409775,455609,2025-07-20 11:17:07
25,691,5,黄敏,1921530203,753171,2025-07-20 11:17:07
26,462,0,杨娟,1800394351,352721,2025-07-20 11:17:07
27,389,5,王杰,1399673174,258853,2025-07-20 11:17:07
28,687,7,王敏,1768149136,115057,2025-07-20 11:17:07
29,717,4,李涛,1324675914,002889,2025-07-20 11:17:07
30,192,5,杨杰,1803847612,229253,2025-07-20 11:17:07
31,941,7,杨军,1924177746,545290,2025-07-20 11:17:07
32,895,1,吴杰,1552824498,646792,2025-07-20 11:17:07
33,016,2,吴静,1771451639,868823,2025-07-20 11:17:07
34,674,6,陈玲,1790565611,680536,2025-07-20 11:17:07
35,905,6,刘芳,1624397598,232069,2025-07-20 11:17:07
36,767,2,杨娟,1452111008,625697,2025-07-20 11:17:07
37,848,7,黄强,1639081091,719291,2025-07-20 11:17:07
38,467,9,王磊,1364512194,175757,2025-07-20 11:17:07
39,740,8,黄敏,1651741146,034577,2025-07-20 11:17:07
40,491,6,赵浩,1516484818,479439,2025-07-20 11:17:07
41,850,0,陈娜,1393171177,861763,2025-07-20 11:17:07
42,124,2,王艳,1775892390,474814,2025-07-20 11:17:07
43,074,7,吴浩,1696981419,264603,2025-07-20 11:17:07
44,869,0,陈杰,1658714239,332786,2025-07-20 11:17:07
45,752,3,周军,1889390490,287601,2025-07-20 11:17:07
46,307,8,刘杰,1325510722,209842,2025-07-20 11:17:07
47,788,5,赵娟,1951496598,367809,2025-07-20 11:17:07
48,683,9,周伟,1630007280,900588,2025-07-20 11:17:07
49,614,1,张超,1396018759,568422,2025-07-20 11:17:07
50,804,6,黄军,1961601457,661874,2025-07-20 11:17:07
51,097,2,李娜,1599805426,458280,2025-07-20 11:17:07
52,278,5,周超,1915374008,082107,2025-07-20 11:17:07
53,690,5,黄宇,1760938004,355985,2025-07-20 11:17:07
54,905,1,刘慧,1527333518,951112,2025-07-20 11:17:07
55,579,0,黄娟,1807979489,914229,2025-07-20 11:17:07
56,740,3,张艳,1851288517,878567,2025-07-20 11:17:07
57,676,5,张玲,1878875486,917674,2025-07-20 11:17:07
58,911,5,周敏,1527205444,462594,2025-07-20 11:17:07
59,099,1,吴艳,1356654932,464162,2025-07-20 11:17:07
60,954,7,吴静,1336981370,208126,2025-07-20 11:17:07
61,956,6,刘玲,1321945839,884758,2025-07-20 11:17:07
62,957,3,黄强,1514976233,532617,2025-07-20 11:17:07
63,751,5,刘强,1476380179,988532,2025-07-20 11:17:07
64,790,3,黄敏,1464218327,397644,2025-07-20 11:17:07
65,614,5,赵杰,1842875632,087138,2025-07-20 11:17:07
66,224,5,张艳,1713125061,045186,2025-07-20 11:17:07
67,890,5,陈超,1850087687,584293,2025-07-20 11:17:07
68,413,3,张超,1889755380,506009,2025-07-20 11:17:07
69,003,9,杨伟,1316298554,985435,2025-07-20 11:17:07
70,898,9,杨娟,1747231902,355504,2025-07-20 11:17:07
71,856,9,赵超,1374343444,696868,2025-07-20 11:17:07
72,777,4,张超,1399850916,650617,2025-07-20 11:17:07
73,746,5,周超,1550937592,171898,2025-07-20 11:17:07
74,691,5,张玲,1893111992,780614,2025-07-20 11:17:07
75,961,6,王静,1880921973,274880,2025-07-20 11:17:07
76,263,9,李敏,1795124655,300377,2025-07-20 11:17:07
77,843,3,陈玲,1436381710,812657,2025-07-20 11:17:07
78,203,3,赵艳,1623353568,458311,2025-07-20 11:17:07
79,458,0,刘磊,1682267158,433437,2025-07-20 11:17:07
80,684,1,李涛,1339170744,929791,2025-07-20 11:17:07
81,224,8,吴娜,1445041592,579653,2025-07-20 11:17:07
82,046,2,周静,1381883849,493361,2025-07-20 11:17:07
83,755,1,杨娟,1344823552,228803,2025-07-20 11:17:07
84,228,8,李艳,1935832754,451438,2025-07-20 11:17:07
85,661,6,赵浩,1337139410,948028,2025-07-20 11:17:07
86,621,6,刘超,1600135796,263440,2025-07-20 11:17:07
87,560,0,赵勇,1776392596,540560,2025-07-20 11:17:07
88,263,5,周丽,1830657437,375509,2025-07-20 11:17:07
